time,deterministic_pinn,stochastic_pinn_drift,sde_mean,sde_lower,sde_upper
69.11037,42.800163,43.43776,43.113895,37.98164,48.541496
69.67224,42.951805,43.587173,43.26716,38.063908,48.73158
70.234116,43.101524,43.73453,43.411976,38.26939,48.846104
70.79599,43.24932,43.87985,43.564293,38.397053,48.998825
71.35786,43.39521,44.02313,43.71201,38.547115,49.211197
71.91973,43.539192,44.164402,43.854496,38.690147,49.31815
72.481606,43.681282,44.303665,44.002083,38.81536,49.432823
73.04348,43.821487,44.440933,44.146935,38.91708,49.615864
73.605354,43.959805,44.576218,44.286217,39.08641,49.732624
74.16722,44.09625,44.709526,44.42314,39.211857,49.91233
74.729095,44.23084,44.840874,44.55287,39.392506,49.997295
75.29097,44.36357,44.97027,44.67574,39.508728,50.13446
75.852844,44.49446,45.09772,44.803383,39.668472,50.240566
76.41472,44.623516,45.223244,44.934372,39.767017,50.379017
76.976585,44.750748,45.346855,45.060253,39.87314,50.529907
77.53846,44.876175,45.468563,45.185078,40.008827,50.65296
78.100334,44.99981,45.588387,45.299385,40.10846,50.745975
78.66221,45.12166,45.706337,45.426426,40.210594,50.865845
79.22408,45.241745,45.822433,45.54821,40.327175,51.025703
79.78595,45.360077,45.9367,45.661674,40.464153,51.11834
80.347824,45.476673,46.049156,45.77993,40.590572,51.22978
80.9097,45.59156,46.159813,45.90091,40.66726,51.346737
81.47157,45.70475,46.268703,46.011787,40.77416,51.483078
82.03345,45.816254,46.375843,46.118397,40.88217,51.584976
82.595314,45.9261,46.48126,46.222256,40.961433,51.725555
83.15719,46.034306,46.584976,46.326042,41.07467,51.85807
83.71906,46.14089,46.68702,46.429775,41.16697,51.90157
84.28094,46.245872,46.787407,46.536076,41.217422,52.04143
84.84281,46.34927,46.886173,46.63628,41.36647,52.15287
85.404686,46.451103,46.98333,46.72905,41.416565,52.228584
85.96655,46.55139,47.07891,46.83191,41.53325,52.321
86.52843,46.65016,47.172935,46.93119,41.66676,52.42028
87.0903,46.747425,47.26542,47.025757,41.75982,52.524357
87.652176,46.8432,47.3564,47.12786,41.83227,52.622597
88.21405,46.93751,47.445885,47.218643,41.93559,52.662487
88.77592,47.03037,47.533897,47.312008,42.023888,52.8184
89.33779,47.12179,47.620453,47.394104,42.08552,52.858814
89.899666,47.2118,47.70558,47.484123,42.171337,52.988125
90.46154,47.30041,47.78929,47.57289,42.21178,53.101177
91.023415,47.387638,47.8716,47.655926,42.319485,53.20047
91.58528,47.47349,47.952522,47.731937,42.367092,53.28043
92.147156,47.558002,48.032085,47.81389,42.44211,53.339565
92.70903,47.64117,48.110294,47.899563,42.530266,53.47101
93.270905,47.723015,48.187164,47.9739,42.58539,53.545918
93.83278,47.803555,48.26272,48.04965,42.67989,53.609344
94.394646,47.882797,48.336964,48.129528,42.71982,53.63101
94.95652,47.960766,48.409924,48.214592,42.840324,53.730072
95.518394,48.037464,48.481606,48.295437,42.952133,53.844406
96.08027,48.11292,48.552025,48.369556,43.060753,53.90804
96.64214,48.187134,48.6212,48.443073,43.10435,53.995255
97.20401,48.260128,48.689148,48.509174,43.17792,54.019253
97.765884,48.331913,48.755886,48.580765,43.22945,54.13535
98.32776,48.402504,48.821426,48.643795,43.299698,54.17992
98.88963,48.47192,48.885784,48.70253,43.383236,54.24735
99.45151,48.540165,48.948982,48.76754,43.41659,54.325245
100.013374,48.607265,49.01104,48.83156,43.46253,54.384716
100.57525,48.673233,49.07196,48.889935,43.49659,54.48403
101.13712,48.73808,49.131783,48.94715,43.557083,54.528004
101.699,48.801823,49.190502,49.004784,43.666065,54.594276
102.26087,48.86448,49.248158,49.06269,43.68568,54.671318
102.82275,48.92606,49.304752,49.12239,43.761967,54.745445
103.38461,48.986584,49.360313,49.187283,43.835926,54.79792
103.94649,49.046066,49.414856,49.241615,43.910927,54.81982
104.50836,49.104527,49.468395,49.29255,43.959633,54.881836
105.07024,49.161976,49.520958,49.342842,43.99296,54.92177
105.63211,49.218426,49.57255,49.3902,44.03876,54.91924
106.19398,49.2739,49.623203,49.43498,44.113537,54.971516
106.75585,49.328415,49.672924,49.484253,44.138554,55.036613
107.317726,49.381977,49.721737,49.532093,44.181335,55.065727
107.8796,49.434612,49.769653,49.586193,44.204166,55.146343
108.441475,49.486336,49.816696,49.631157,44.23397,55.221317
109.00334,49.537155,49.862877,49.682182,44.33926,55.230232
109.565216,49.587086,49.908215,49.725887,44.406036,55.225887
110.12709,49.63615,49.95272,49.770924,44.430416,55.270237
110.688965,49.68436,49.996418,49.81348,44.520706,55.289032
111.25084,49.73173,50.039318,49.86099,44.530834,55.361244
111.812706,49.77827,50.081432,49.902637,44.56712,55.372253
112.37458,49.824,50.12278,49.9521,44.619755,55.47441
112.936455,49.868935,50.16337,49.991383,44.64927,55.57011
113.49833,49.913082,50.203217,50.03474,44.722836,55.579666
114.0602,49.956467,50.24234,50.07683,44.781956,55.54528
114.62207,49.99909,50.280743,50.109585,44.77792,55.6061
115.183945,50.040962,50.318443,50.149166,44.834877,55.641556
115.74582,50.08211,50.355453,50.190918,44.876904,55.696995
116.30769,50.12254,50.39179,50.232525,44.860577,55.723755
116.86957,50.16226,50.427452,50.270763,44.927208,55.807156
117.431435,50.20129,50.46246,50.307026,44.965664,55.822506
117.99331,50.239635,50.49682,50.33816,45.013992,55.83489
118.55518,50.277306,50.53055,50.375175,45.026455,55.892563
119.11706,50.314316,50.563652,50.396484,45.105846,55.926636
119.67893,50.35068,50.596138,50.433823,45.112175,55.91508
120.2408,50.38641,50.62802,50.46192,45.12157,55.962067
120.80267,50.42151,50.659317,50.48983,45.151806,55.96014
121.36455,50.45599,50.690025,50.52304,45.24013,56.00631
121.92642,50.48987,50.720154,50.550747,45.270416,56.082424
122.4883,50.52315,50.74972,50.586002,45.294193,56.087276
123.05017,50.555843,50.778732,50.62106,45.35724,56.17535
123.61204,50.587955,50.807198,50.65391,45.362797,56.200844
124.17391,50.619503,50.83513,50.68221,45.329193,56.20813
124.73579,50.650497,50.862522,50.711304,45.335445,56.215485
125.29766,50.680935,50.889404,50.73368,45.387768,56.282295
125.859535,50.710842,50.91577,50.760693,45.46137,56.28997
126.4214,50.740208,50.94164,50.779705,45.495342,56.351917
126.98328,50.76906,50.967007,50.807903,45.51255,56.41463
127.54515,50.79739,50.991898,50.829514,45.521004,56.378048
128.10703,50.825222,51.01631,50.853214,45.55866,56.406094
128.6689,50.852554,51.040253,50.879692,45.611847,56.478268
129.23077,50.8794,51.063736,50.88825,45.545525,56.4526
129.79265,50.90576,51.08677,50.91441,45.64564,56.520584
130.3545,50.931652,51.109356,50.93217,45.65451,56.55175
130.91638,50.957077,51.131508,50.956924,45.70363,56.5832
131.47826,50.982044,51.153236,50.97972,45.676994,56.57921
132.04013,51.00657,51.174538,50.988,45.68552,56.560917
132.602,51.030643,51.195435,51.006233,45.726543,56.62406
133.16388,51.054295,51.21593,51.023815,45.69991,56.608116
133.72575,51.07751,51.236023,51.051224,45.716263,56.656784
134.28763,51.100307,51.255733,51.075485,45.76164,56.66666
134.8495,51.122696,51.275063,51.094715,45.706905,56.67451
135.41138,51.14468,51.294014,51.114082,45.767185,56.725563
135.97325,51.166264,51.3126,51.136185,45.843975,56.74931
136.53511,51.187458,51.330826,51.15131,45.776352,56.773148
137.09698,51.20827,51.34871,51.167458,45.802452,56.808372
137.65886,51.228703,51.36624,51.183086,45.832947,56.832542
138.22073,51.248768,51.38344,51.20565,45.86952,56.814636
138.78261,51.268467,51.400307,51.217125,45.90946,56.80946
139.34448,51.28781,51.416847,51.230385,45.913506,56.800224
139.90636,51.3068,51.433075,51.237072,45.899467,56.784737
140.46823,51.32545,51.44899,51.255184,45.96739,56.829254
141.0301,51.343758,51.464603,51.2679,45.935616,56.89915
141.59198,51.361736,51.47992,51.28698,45.946117,56.93335
142.15384,51.37939,51.494946,51.308914,45.965553,56.91183
142.71571,51.396725,51.50969,51.32727,46.04005,56.909508
143.27759,51.41375,51.524147,51.338696,46.01198,56.887478
143.83946,51.43046,51.538338,51.349667,46.057865,56.97433
144.40134,51.446873,51.552265,51.356987,46.048576,56.954998
144.96321,51.462986,51.565926,51.363316,46.059162,56.95983
145.52509,51.478817,51.579338,51.37211,46.04888,56.947178
146.08696,51.49436,51.5925,51.388847,46.074165,56.990368
146.64883,51.509624,51.605415,51.409657,46.069027,56.99536
147.21071,51.524616,51.618095,51.420532,46.062725,57.01619
147.77257,51.539333,51.63054,51.433926,46.06729,56.988068
148.33444,51.553795,51.642757,51.457775,46.07945,57.043205
148.89632,51.567997,51.654755,51.47314,46.08093,57.08535
149.45819,51.58195,51.666534,51.488293,46.112186,57.056145
150.02007,51.595654,51.6781,51.506187,46.15871,57.04065
150.58194,51.60911,51.689457,51.52185,46.13278,57.080193
151.14381,51.622337,51.700615,51.52941,46.16628,57.111427
151.70569,51.63533,51.71157,51.533966,46.16761,57.100468
152.26756,51.648094,51.722336,51.55135,46.20074,57.120735
